model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_17,0.05,0.5,0.023760903125774238,0.036018978993293815,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
xgb_17,0.05,0.1,0.023755534008619142,0.03601317879499283,2,-0.002254876931643318,19.333333333333332,-0.0021830907836411016
xgb_20,0.05,0.25,0.02374876360385657,0.03578484214382843,2,-0.0021990911643824506,41.333333333333336,-0.0021830907836411016
xgb_20,0.05,0.5,0.02374876360385657,0.03578484214382843,2,-0.0021990911643824506,41.333333333333336,-0.0021830907836411016
xgb_20,0.25,0.5,0.0237407034385136,0.036081057042216626,2,-0.001937993621797066,41.333333333333336,-0.0021830907836411016
xgb_19,1.0,0.25,0.02373953232143663,0.036006622859212495,2,-0.0012671814487664947,90.0,-0.0021830907836411016
xgb_03,0.1,0.25,0.023737911973100847,0.036481190037045086,2,-0.0018615538341925219,28.666666666666668,-0.0021830907836411016
xgb_20,0.1,0.1,0.023733630823714758,0.035852966213453595,2,-0.0022431421319336867,41.333333333333336,-0.0021830907836411016
xgb_18,0.25,0.1,0.023733451015767765,0.035535812176226256,2,-0.0019164972972685263,34.666666666666664,-0.0021830907836411016
xgb_27,0.25,0.25,0.023725890276967965,0.03652170496203096,2,-0.0018875499716715103,14.333333333333334,-0.0021830907836411016
xgb_00,0.25,0.5,0.023717221652133635,0.036609590569005465,2,-0.0016616637778427779,34.666666666666664,-0.0021830907836411016
xgb_30,1.0,0.1,0.02371680519816986,0.03440086247072266,2,-0.0011939977958029936,10.666666666666666,-0.0021830907836411016
xgb_04,0.1,0.1,0.023716289658576962,0.036115839934100114,2,-0.002153577408755698,211.0,-0.0021830907836411016
xgb_22,0.1,0.25,0.02371626261430866,0.035934185880036905,2,-0.002020618752795027,38.333333333333336,-0.0021830907836411016
xgb_22,0.1,0.5,0.02371395117034962,0.03592725154815978,2,-0.002020618752795027,38.333333333333336,-0.0021830907836411016
xgb_04,0.05,0.1,0.023713507032058323,0.036091969728264874,2,-0.002148232979919846,211.0,-0.0021830907836411016
xgb_02,0.5,0.25,0.023710688439110828,0.03641136750480967,2,-0.0015320075163527183,195.0,-0.0021830907836411016
xgb_27,0.25,0.1,0.023709213450831393,0.036471674483621236,2,-0.0018786897474372597,14.333333333333334,-0.0021830907836411016
xgb_02,0.5,0.5,0.023707493207755684,0.03640178181074424,2,-0.0015320075163527183,195.0,-0.0021830907836411016
xgb_24,0.5,0.5,0.02370718372102201,0.03679532577359668,2,-0.0015060929909745905,31.0,-0.0021830907836411016
xgb_07,0.1,0.5,0.023705272589588617,0.036300847286358615,2,-0.0021532338022331467,177.33333333333334,-0.0021830907836411016
xgb_04,0.25,0.1,0.023704254371470345,0.036394492719155395,2,-0.001939587892992359,211.0,-0.0021830907836411016
xgb_13,0.1,0.5,0.023693894056527,0.03654466650793128,2,-0.0021720542139007657,31.0,-0.0021830907836411016
xgb_00,0.25,0.25,0.023690096177437826,0.036609590569005465,2,-0.001687660749612619,34.666666666666664,-0.0021830907836411016
